"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
119,12379,1,1237.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
119,12983,1,1298.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
119,14193,1,1419.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
119,15105,1,1510.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
120,8302,1,830.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
120,14443,1,1444.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,892,1,89.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,4184,1,418.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,5443,1,544.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,6061,1,606.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,8093,1,809.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,9079,1,907.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,10052,1,1005.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,10765,1,1076.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,13744,1,1374.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
121,14846,1,1484.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
122,1150,1,115,"20080930002","LH","CBA/J","M","P30:60","ACx"
